Date,Price,Open,High,Low,Change %
02/22/2023,1898.3,1892.3,1909.8,1885.4,+0.30%
02/21/2023,1892.7,1949.3,1951.7,1890.4,-2.56%
02/20/2023,1942.4,1946.8,1951.7,1938.9,-0.22%
02/19/2023,1946.7,1947.6,1949.6,1945.1,-0.21%
02/17/2023,1950.7,1944.1,1953.2,1926.1,+0.28%
02/16/2023,1945.3,1965.5,1970.3,1931.3,-1.03%
02/15/2023,1965.5,1942.0,1967.3,1925.2,+1.00%
02/14/2023,1946.1,1947.3,1964.1,1921.3,-0.05%
02/13/2023,1947.1,1925.5,1949.8,1913.7,+1.18%
02/10/2023,1924.4,1923.8,1927.5,1906.2,+0.18%
02/09/2023,1920.9,1950.7,1973.1,1915.3,-1.49%
02/08/2023,1949.9,1973.5,1978.9,1944.1,-1.49%
02/07/2023,1979.3,1964.5,1984.2,1938.8,+0.72%
02/06/2023,1965.1,1987.2,1991.0,1956.9,-1.42%
02/03/2023,1993.5,2005.0,2015.6,1981.6,-0.72%
02/02/2023,2007.9,1966.4,2016.9,1964.3,+2.01%
02/01/2023,1968.4,1938.1,1986.5,1925.2,+1.50%
01/31/2023,1939.4,1897.4,1940.1,1883.1,+2.42%
01/30/2023,1893.5,1916.8,1919.9,1891.9,-1.35%
01/27/2023,1919.5,1906.8,1927.2,1901.6,+0.47%
01/26/2023,1910.5,1899.1,1923.3,1886.6,+0.58%
01/25/2023,1899.5,1892.3,1902.4,1862.8,+0.25%
01/24/2023,1894.8,1898.1,1903.5,1883.4,-0.22%
01/23/2023,1899.0,1875.9,1906.4,1869.9,+1.23%
01/20/2023,1876.0,1845.2,1876.6,1836.2,+1.67%
01/19/2023,1845.2,1864.4,1866.5,1832.2,-1.01%
01/18/2023,1864.0,1893.6,1916.5,1862.8,-1.63%
01/17/2023,1894.9,1899.5,1905.6,1887.9,-0.06%
01/16/2023,1896.1,1894.9,1902.8,1887.9,+0.08%
01/15/2023,1894.5,1898.6,1898.9,1893.8,-0.19%
01/13/2023,1898.1,1886.0,1900.8,1867.3,+0.65%
01/12/2023,1885.8,1857.1,1887.2,1843.2,+1.65%
01/11/2023,1855.2,1831.1,1857.1,1830.5,+1.26%
01/10/2023,1832.2,1806.5,1833.3,1795.8,+1.46%
01/09/2023,1805.9,1802.9,1828.5,1802.6,+0.14%
01/06/2023,1803.4,1763.6,1808.0,1759.3,+2.33%
01/05/2023,1762.4,1781.4,1787.9,1750.4,-1.16%
01/04/2023,1783.1,1758.6,1794.8,1757.2,+1.31%
01/03/2023,1760.0,1790.0,1801.8,1745.4,-1.09%
01/02/2023,1779.4,1788.6,1789.6,1777.2,+0.13%
01/01/2023,1777.1,1777.1,1777.1,1777.1,+0.35%
